2026-04-29 12:43:27.656 trce: Venue.Src.Core.Portfolio.PortfolioManager[0]                       | Order ID: 68f1f91f-71e1-48f7-8d82-b0fd25aae925 Processing order filled event. Symbol: EURUSD, Quantity: 3, Fill Price: 145.70048747115491418396158719, Timestamp: 04/30/2026 12:43:27.
2026-04-29 12:43:27.656 dbug: Venue.Src.Core.Portfolio.PortfolioManager[0]                       | Order ID: 68f1f91f-71e1-48f7-8d82-b0fd25aae925 Updated cash balance after order fill. Cash Change: -437.13146241346474255188476157, New Cash Balance: 9562.868537586535257448115238.
2026-04-29 12:43:27.656 dbug: Venue.Src.Core.Portfolio.PortfolioManager[0]                       | Order ID: 68f1f91f-71e1-48f7-8d82-b0fd25aae925 Calculated quantity change for order  Quantity Change: -3.
2026-04-29 12:43:27.656 dbug: Venue.Src.Core.Portfolio.PortfolioManager[0]                       | Order ID: 68f1f91f-71e1-48f7-8d82-b0fd25aae925 Created new position for symbol. Symbol: EURUSD, Quantity: -3, Average Entry Price: 145.70048747115491418396158719.
2026-04-29 12:43:27.656 dbug: Venue.Src.Core.Execution.Broker.Broker[0]                          | Order ID: 68f1f91f-71e1-48f7-8d82-b0fd25aae925 Order fully filled.
2026-04-29 12:43:27.656 dbug: Venue.Src.Core.Execution.Broker.Broker[0]                          | Order ID: 68f1f91f-71e1-48f7-8d82-b0fd25aae925 Removed filled order from active orders.
2026-04-29 12:43:27.656 trce: Venue.Src.Core.Portfolio.PortfolioManager[0]                       | Updated market price for position. Symbol: EURUSD, Current Price: 145.70548747115491418396158719.
2026-04-29 12:43:27.656 trce: Venue.Src.Strategies.Library.MACStrategy.MACStrategy[0]            | Updated indicators. ShortTermMA: 142.92458224470285677319577621, LongTermMA: 146.1486555443334570052285652.
2026-04-29 12:43:27.656 trce: Venue.Src.Strategies.Library.MACStrategy.MACStrategy[0]            | Current position status. IsFlat: False, Position: Symbol: EURUSD, Direction: Short, Quantity: -3, AverageEntryPrice: 145.70048747115491418396158719.
2026-04-29 12:43:27.656 trce: Venue.Src.Core.TradeLogging.TradeLogger[0]                         | 04/30/2026 12:43:27 Recorded equity 9125.752075173070514896230476 
2026-04-29 12:43:27.656 trce: Venue.Src.Application.Simulator[0]                                 |  
2026-04-29 12:43:27.656 trce: Venue.Src.Application.Simulator[0]                                 | ===========================================END OF TICK===========================================
2026-04-29 12:43:27.656 trce: Venue.Src.Application.Simulator[0]                                 |  
2026-04-29 12:43:27.656 trce: Venue.Src.Application.Simulator[0]                                 | 04/30/2026 13:43:27: Processing tick: O=144.59909985030277766695965916, H=145.41737127328176798411157109, L=143.53629670227977428339749106, C=144.59909985030277766695965916, V=26294756, Spread=0.01
2026-04-29 12:43:27.656 trce: Venue.Src.Core.Execution.Broker.Broker[0]                          | 04/30/2026 13:43:27 Processing orders.
2026-04-29 12:43:27.656 dbug: Venue.Src.Core.Execution.Broker.Broker[0]                          | No active orders to process.
2026-04-29 12:43:27.656 trce: Venue.Src.Core.Portfolio.PortfolioManager[0]                       | Updated market price for position. Symbol: EURUSD, Current Price: 144.59909985030277766695965916.
2026-04-29 12:43:27.656 trce: Venue.Src.Strategies.Library.MACStrategy.MACStrategy[0]            | Updated indicators. ShortTermMA: 143.2132983935335067864079117, LongTermMA: 146.04127373616778460851160843.
2026-04-29 12:43:27.656 trce: Venue.Src.Strategies.Library.MACStrategy.MACStrategy[0]            | Current position status. IsFlat: False, Position: Symbol: EURUSD, Direction: Short, Quantity: -3, AverageEntryPrice: 145.70048747115491418396158719.
